,DATE,avalanche_sum,PRCP,SNWD,TMAX,TMIN,MONTH_1,MONTH_10,MONTH_11,MONTH_12,MONTH_2,MONTH_3,MONTH_4,MONTH_5,MONTH_6,MONTH_7,MONTH_8,MONTH_9,snow_diff_day,snow_diff_week,got_snow,min_below_freezing,max_above_freezing,min*max,avalanche_binary,Region_Ogden,Region_Provo,Region_Salt Lake,Region_Uintas
3519,2010-01-03,1.0,0.0,38.0,31.0,11.0,1,0,0,0,0,0,0,0,0,0,0,0,-2.0,10.0,0,1,0,0,True,0,0,1,0
3520,2010-01-04,0.0,0.0,37.0,35.0,14.0,1,0,0,0,0,0,0,0,0,0,0,0,-1.0,9.0,0,1,1,1,False,0,0,1,0
3523,2010-01-07,4.0,0.17,42.0,25.0,7.0,1,0,0,0,0,0,0,0,0,0,0,0,1.0,-2.0,1,1,0,0,True,0,0,1,0
3527,2010-01-08,1.0,0.0,41.0,35.0,10.0,1,0,0,0,0,0,0,0,0,0,0,0,-1.0,-2.0,0,1,1,1,True,0,0,1,0
3533,2010-01-12,0.0,0.0,37.0,42.0,29.0,1,0,0,0,0,0,0,0,0,0,0,0,-1.0,0.0,0,1,1,1,False,0,0,1,0
3534,2010-01-13,0.0,0.0,37.0,38.0,23.0,1,0,0,0,0,0,0,0,0,0,0,0,0.0,-4.0,0,1,1,1,False,0,0,1,0
3535,2010-01-14,0.0,0.01,36.0,30.0,20.0,1,0,0,0,0,0,0,0,0,0,0,0,-1.0,-6.0,0,1,0,0,False,0,0,1,0
3536,2010-01-15,0.0,0.0,36.0,39.0,13.0,1,0,0,0,0,0,0,0,0,0,0,0,0.0,-5.0,0,1,1,1,False,0,0,1,0
3539,2010-01-18,2.0,0.09,38.0,32.0,22.0,1,0,0,0,0,0,0,0,0,0,0,0,3.0,0.0,1,1,0,0,True,0,0,1,0
3541,2010-01-19,3.0,1.01,47.0,27.0,18.0,1,0,0,0,0,0,0,0,0,0,0,0,9.0,10.0,1,1,0,0,True,0,0,1,0
3544,2010-01-20,5.0,0.14,46.0,28.0,19.0,1,0,0,0,0,0,0,0,0,0,0,0,-1.0,9.0,0,1,0,0,True,0,0,1,0
3549,2010-01-21,5.0,1.02,54.0,26.0,18.0,1,0,0,0,0,0,0,0,0,0,0,0,8.0,18.0,1,1,0,0,True,0,0,1,0
3554,2010-01-22,6.0,1.05,59.0,26.0,19.0,1,0,0,0,0,0,0,0,0,0,0,0,5.0,23.0,1,1,0,0,True,0,0,1,0
3567,2010-01-25,7.0,0.0,78.0,28.0,4.0,1,0,0,0,0,0,0,0,0,0,0,0,-7.0,43.0,0,1,0,0,True,0,0,1,0
3581,2010-01-28,3.0,0.0,66.0,30.0,15.0,1,0,0,0,0,0,0,0,0,0,0,0,-6.0,20.0,0,1,0,0,True,0,0,1,0
3584,2010-01-29,2.0,0.0,65.0,31.0,11.0,1,0,0,0,0,0,0,0,0,0,0,0,-1.0,11.0,0,1,0,0,True,0,0,1,0
3586,2010-01-30,3.0,0.0,63.0,34.0,16.0,1,0,0,0,0,0,0,0,0,0,0,0,-2.0,4.0,0,1,1,1,True,0,0,1,0
3589,2010-01-31,0.0,0.32,69.0,26.0,19.0,1,0,0,0,0,0,0,0,0,0,0,0,6.0,-16.0,1,1,0,0,False,0,0,1,0
