,DATE,avalanche_sum,PRCP,SNWD,TMAX,TMIN,snow_diff_day,snow_diff_week,got_snow,prev_day_TMIN,prev_day_TMAX,min_below_freezing,max_above_freezing,min*max,avalanche_binary,Region_Ogden,Region_Provo,Region_Salt Lake,Region_Uintas,MONTH_10,MONTH_11,MONTH_12,MONTH_2,MONTH_3,MONTH_4,MONTH_5,MONTH_6
64877,2015-01-24,2.0,0.0,51.0,36.0,22.0,0.0,-3.0,0,21.0,32.0,1,1,1,True,0,0,1,0,0,0,0,0,0,0,0,0
13580,2010-01-31,4.0,1.5,71.0,26.0,24.0,7.0,4.0,1,21.0,33.0,1,0,0,True,1,0,0,0,0,0,0,0,0,0,0,0
65379,2016-01-22,3.0,0.0,54.0,42.0,30.0,-2.0,-1.0,0,15.0,38.0,1,1,1,True,0,0,1,0,0,0,0,0,0,0,0,0
67432,2020-01-14,3.0,0.4,81.0,26.0,13.0,1.0,28.0,1,17.0,26.0,1,0,0,True,0,0,1,0,0,0,0,0,0,0,0,0
46452,2011-01-20,1.0,0.0,0.0,38.0,27.0,0.0,-4.0,0,34.0,41.0,1,1,1,True,0,1,0,0,0,0,0,0,0,0,0,0
40129,2016-01-23,1.0,0.5,53.0,39.0,24.0,2.0,0.0,1,28.0,40.0,1,1,1,True,0,0,0,0,0,0,0,0,0,0,0,0
62232,2010-01-27,6.0,0.1,68.0,31.0,23.0,2.0,20.0,1,22.0,33.0,1,0,0,True,0,0,1,0,0,0,0,0,0,0,0,0
67450,2020-01-21,1.0,0.2,79.0,34.0,25.0,1.0,-2.0,1,31.0,42.0,1,1,1,True,0,0,1,0,0,0,0,0,0,0,0,0
68088,2021-01-25,5.0,0.0,45.0,26.0,11.0,0.0,9.0,0,12.0,28.0,1,0,0,True,0,0,1,0,0,0,0,0,0,0,0,0
16547,2018-01-21,1.0,0.1,30.0,26.0,15.0,-1.0,6.0,0,16.0,27.0,1,0,0,True,1,0,0,0,0,0,0,0,0,0,0,0
3581,2010-01-28,3.0,0.0,66.0,30.0,15.0,-6.0,20.0,0,13.0,28.0,1,0,0,True,0,0,1,0,0,0,0,0,0,0,0,0
8703,2020-01-29,3.0,0.09,95.0,25.0,15.0,-1.0,9.0,0,16.0,26.0,1,0,0,True,0,0,1,0,0,0,0,0,0,0,0,0
4128,2011-01-15,2.0,0.0,84.0,32.0,19.0,1.0,2.0,1,25.0,31.0,1,0,0,True,0,0,1,0,0,0,0,0,0,0,0,0
13545,2010-01-02,2.0,0.2,39.0,32.0,22.0,-1.0,8.0,0,24.0,33.0,1,0,0,True,1,0,0,0,0,0,0,0,0,0,0,0
7562,2018-01-06,2.0,0.32,24.0,33.0,27.0,3.0,0.0,1,28.0,44.0,1,1,1,True,0,0,1,0,0,0,0,0,0,0,0,0
7587,2018-01-12,1.0,0.18,33.0,30.0,20.0,-1.0,12.0,0,16.0,28.0,1,0,0,True,0,0,1,0,0,0,0,0,0,0,0,0
37781,2010-01-25,1.0,0.1,50.0,27.0,12.0,-3.0,17.0,0,11.0,20.0,1,0,0,True,0,0,0,0,0,0,0,0,0,0,0,0
9335,2021-01-30,27.0,0.79,61.0,23.0,15.0,9.0,15.0,1,18.0,34.0,1,0,0,True,0,0,1,0,0,0,0,0,0,0,0,0
