,DATE,Avalanche,PRCP,SNWD,TMAX,TMIN,MONTH_10,MONTH_11,MONTH_12,MONTH_2,MONTH_3,MONTH_4,MONTH_5,MONTH_6,MONTH_7,MONTH_8,MONTH_9,snow_diff,temp_range,Avalanche_binary,Region_Ogden,Region_Salt Lake,Region_Uintas
1,2000-01-02,0.0,0.64,43.0,19.0,4.0,0,0,0,0,0,0,0,0,0,0,0,11.0,15.0,False,0,1,0
2,2000-01-03,0.0,0.54,51.0,13.0,6.0,0,0,0,0,0,0,0,0,0,0,0,8.0,7.0,False,0,1,0
3,2000-01-04,0.0,0.11,52.0,28.0,-1.0,0,0,0,0,0,0,0,0,0,0,0,1.0,29.0,False,0,1,0
4,2000-01-05,0.0,0.93,66.0,22.0,11.0,0,0,0,0,0,0,0,0,0,0,0,14.0,11.0,False,0,1,0
5,2000-01-06,0.0,0.0,62.0,23.0,3.0,0,0,0,0,0,0,0,0,0,0,0,-4.0,20.0,False,0,1,0
6,2000-01-07,0.0,0.0,60.0,22.0,-3.0,0,0,0,0,0,0,0,0,0,0,0,-2.0,25.0,False,0,1,0
7,2000-01-08,0.0,0.16,60.0,23.0,1.0,0,0,0,0,0,0,0,0,0,0,0,0.0,22.0,False,0,1,0
8,2000-01-09,0.0,0.24,62.0,20.0,13.0,0,0,0,0,0,0,0,0,0,0,0,2.0,7.0,False,0,1,0
9,2000-01-10,0.0,0.68,70.0,26.0,20.0,0,0,0,0,0,0,0,0,0,0,0,8.0,6.0,False,0,1,0
10,2000-01-11,1.0,0.06,70.0,33.0,21.0,0,0,0,0,0,0,0,0,0,0,0,0.0,12.0,True,0,1,0
11,2000-01-12,0.0,0.3,70.0,33.0,18.0,0,0,0,0,0,0,0,0,0,0,0,0.0,15.0,False,0,1,0
12,2000-01-13,0.0,0.0,66.0,34.0,16.0,0,0,0,0,0,0,0,0,0,0,0,-4.0,18.0,False,0,1,0
13,2000-01-14,0.0,0.0,62.0,41.0,32.0,0,0,0,0,0,0,0,0,0,0,0,-4.0,9.0,False,0,1,0
14,2000-01-15,0.0,0.0,60.0,40.0,29.0,0,0,0,0,0,0,0,0,0,0,0,-2.0,11.0,False,0,1,0
15,2000-01-16,0.0,0.07,56.0,40.0,32.0,0,0,0,0,0,0,0,0,0,0,0,-4.0,8.0,False,0,1,0
16,2000-01-17,0.0,0.0,55.0,38.0,32.0,0,0,0,0,0,0,0,0,0,0,0,-1.0,6.0,False,0,1,0
17,2000-01-18,0.0,0.52,55.0,38.0,30.0,0,0,0,0,0,0,0,0,0,0,0,0.0,8.0,False,0,1,0
18,2000-01-19,0.0,0.16,54.0,39.0,28.0,0,0,0,0,0,0,0,0,0,0,0,-1.0,11.0,False,0,1,0
19,2000-01-20,0.0,0.0,52.0,40.0,24.0,0,0,0,0,0,0,0,0,0,0,0,-2.0,16.0,False,0,1,0
20,2000-01-21,0.0,0.5,58.0,35.0,19.0,0,0,0,0,0,0,0,0,0,0,0,6.0,16.0,False,0,1,0
21,2000-01-22,0.0,0.15,61.0,23.0,17.0,0,0,0,0,0,0,0,0,0,0,0,3.0,6.0,False,0,1,0
22,2000-01-23,0.0,0.08,63.0,27.0,8.0,0,0,0,0,0,0,0,0,0,0,0,2.0,19.0,False,0,1,0
23,2000-01-24,0.0,0.0,61.0,34.0,22.0,0,0,0,0,0,0,0,0,0,0,0,-2.0,12.0,False,0,1,0
24,2000-01-25,0.0,0.77,68.0,32.0,23.0,0,0,0,0,0,0,0,0,0,0,0,7.0,9.0,False,0,1,0
