STATION,NAME,LATITUDE,LONGITUDE,ELEVATION,DATE,DAPR,EVAP,MDPR,MNPN,MXPN,PRCP,SNOW,SNWD,TAVG,TMAX,TMIN,TOBS,WDMV,WESD,WT01,WT03
USS0011H08S,"BEN LOMOND PEAK, UT US",41.38,-111.94,2438.4,1/1/2000,,,,,,0,,15,24,33,20,21,,3.7,,
USS0011H08S,"BEN LOMOND PEAK, UT US",41.38,-111.94,2438.4,1/2/2000,,,,,,0.6,,25,14,19,12,13,,4.2,,
USS0011H08S,"BEN LOMOND PEAK, UT US",41.38,-111.94,2438.4,1/3/2000,,,,,,0.1,,23,11,15,7,15,,4.4,,
USS0011H08S,"BEN LOMOND PEAK, UT US",41.38,-111.94,2438.4,1/4/2000,,,,,,1,,28,20,25,14,20,,5.5,,
USS0011H08S,"BEN LOMOND PEAK, UT US",41.38,-111.94,2438.4,1/5/2000,,,,,,0.2,,28,15,19,12,12,,5.5,,
USS0011H08S,"BEN LOMOND PEAK, UT US",41.38,-111.94,2438.4,1/6/2000,,,,,,0,,27,14,26,9,17,,5.5,,
USS0011H08S,"BEN LOMOND PEAK, UT US",41.38,-111.94,2438.4,1/7/2000,,,,,,0,,25,21,28,15,17,,5.6,,
USS0011H08S,"BEN LOMOND PEAK, UT US",41.38,-111.94,2438.4,1/8/2000,,,,,,1,,31,18,21,13,19,,6.4,,
USS0011H08S,"BEN LOMOND PEAK, UT US",41.38,-111.94,2438.4,1/9/2000,,,,,,0.3,,31,20,25,17,25,,6.7,,
USS0011H08S,"BEN LOMOND PEAK, UT US",41.38,-111.94,2438.4,1/10/2000,,,,,,1.1,,35,24,30,19,30,,8.2,,
USS0011H08S,"BEN LOMOND PEAK, UT US",41.38,-111.94,2438.4,1/11/2000,,,,,,0.1,,33,30,35,26,26,,8.3,,
USS0011H08S,"BEN LOMOND PEAK, UT US",41.38,-111.94,2438.4,1/12/2000,,,,,,0,,33,25,33,21,26,,8.3,,
USS0011H08S,"BEN LOMOND PEAK, UT US",41.38,-111.94,2438.4,1/13/2000,,,,,,0,,32,32,38,26,37,,8.3,,
USS0011H08S,"BEN LOMOND PEAK, UT US",41.38,-111.94,2438.4,1/14/2000,,,,,,0.1,,31,38,40,36,37,,8.3,,
USS0011H08S,"BEN LOMOND PEAK, UT US",41.38,-111.94,2438.4,1/15/2000,,,,,,0.1,,32,36,42,29,34,,8.4,,
USS0011H08S,"BEN LOMOND PEAK, UT US",41.38,-111.94,2438.4,1/16/2000,,,,,,0.1,,30,38,40,34,36,,8.4,,
USS0011H08S,"BEN LOMOND PEAK, UT US",41.38,-111.94,2438.4,1/17/2000,,,,,,0,,28,36,38,35,35,,8.4,,
USS0011H08S,"BEN LOMOND PEAK, UT US",41.38,-111.94,2438.4,1/18/2000,,,,,,1.2,,29,35,38,32,34,,9,,
USS0011H08S,"BEN LOMOND PEAK, UT US",41.38,-111.94,2438.4,1/19/2000,,,,,,0.1,,28,32,36,28,34,,9,,
USS0011H08S,"BEN LOMOND PEAK, UT US",41.38,-111.94,2438.4,1/20/2000,,,,,,0,,28,36,39,33,36,,9,,
USS0011H08S,"BEN LOMOND PEAK, UT US",41.38,-111.94,2438.4,1/21/2000,,,,,,0.5,,31,28,36,23,25,,9.4,,
USS0011H08S,"BEN LOMOND PEAK, UT US",41.38,-111.94,2438.4,1/22/2000,,,,,,0.3,,34,22,25,17,20,,9.7,,
USS0011H08S,"BEN LOMOND PEAK, UT US",41.38,-111.94,2438.4,1/23/2000,,,,,,0,,33,22,29,14,27,,9.9,,
USS0011H08S,"BEN LOMOND PEAK, UT US",41.38,-111.94,2438.4,1/24/2000,,,,,,0.4,,34,31,34,27,30,,10.3,,
USS0011H08S,"BEN LOMOND PEAK, UT US",41.38,-111.94,2438.4,1/25/2000,,,,,,2.1,,42,30,33,26,27,,12.4,,
USS0011H08S,"BEN LOMOND PEAK, UT US",41.38,-111.94,2438.4,1/26/2000,,,,,,0,,43,24,36,16,16,,12.4,,
USS0011H08S,"BEN LOMOND PEAK, UT US",41.38,-111.94,2438.4,1/27/2000,,,,,,0,,42,15,28,8,8,,12.4,,
USS0011H08S,"BEN LOMOND PEAK, UT US",41.38,-111.94,2438.4,1/28/2000,,,,,,0,,42,13,26,7,9,,12.4,,
USS0011H08S,"BEN LOMOND PEAK, UT US",41.38,-111.94,2438.4,1/29/2000,,,,,,0,,41,14,30,8,13,,12.4,,
USS0011H08S,"BEN LOMOND PEAK, UT US",41.38,-111.94,2438.4,1/30/2000,,,,,,0,,40,18,33,9,22,,12.4,,
USS0011H08S,"BEN LOMOND PEAK, UT US",41.38,-111.94,2438.4,1/31/2000,,,,,,0.3,,44,20,26,15,17,,12.6,,
USS0011H08S,"BEN LOMOND PEAK, UT US",41.38,-111.94,2438.4,2/1/2000,,,,,,0,,44,21,29,13,26,,12.6,,
USS0011H08S,"BEN LOMOND PEAK, UT US",41.38,-111.94,2438.4,2/2/2000,,,,,,0,,42,37,46,25,42,,12.6,,
USS0011H08S,"BEN LOMOND PEAK, UT US",41.38,-111.94,2438.4,2/3/2000,,,,,,0,,41,41,56,25,25,,12.6,,
USS0011H08S,"BEN LOMOND PEAK, UT US",41.38,-111.94,2438.4,2/4/2000,,,,,,0,,41,26,38,19,33,,12.6,,
USS0011H08S,"BEN LOMOND PEAK, UT US",41.38,-111.94,2438.4,2/5/2000,,,,,,0,,41,33,39,29,33,,12.6,,
USS0011H08S,"BEN LOMOND PEAK, UT US",41.38,-111.94,2438.4,2/6/2000,,,,,,0,,41,35,48,30,31,,12.6,,
USS0011H08S,"BEN LOMOND PEAK, UT US",41.38,-111.94,2438.4,2/7/2000,,,,,,0,,40,35,44,28,37,,12.6,,
USS0011H08S,"BEN LOMOND PEAK, UT US",41.38,-111.94,2438.4,2/8/2000,,,,,,0,,39,38,44,35,38,,12.6,,
USS0011H08S,"BEN LOMOND PEAK, UT US",41.38,-111.94,2438.4,2/9/2000,,,,,,0.2,,40,34,39,30,31,,12.6,,
USS0011H08S,"BEN LOMOND PEAK, UT US",41.38,-111.94,2438.4,2/10/2000,,,,,,0.2,,41,30,34,28,29,,12.9,,
USS0011H08S,"BEN LOMOND PEAK, UT US",41.38,-111.94,2438.4,2/11/2000,,,,,,0.5,,43,29,31,28,29,,13.5,,
USS0011H08S,"BEN LOMOND PEAK, UT US",41.38,-111.94,2438.4,2/12/2000,,,,,,3.1,,64,26,29,23,23,,16.9,,
USS0011H08S,"BEN LOMOND PEAK, UT US",41.38,-111.94,2438.4,2/13/2000,,,,,,2.1,,71,24,28,21,28,,19.2,,
